epoch,validation_accuracy,hours_elapsed
0,0.1797945201396942,0.0
1,0.5888270735740662,0.6825170657369825
2,0.6609588861465454,1.3487430697017249
3,0.7099742889404297,2.018383492098914
4,0.7082619667053223,2.6781129772133303
5,0.723244845867157,3.354293546875318
6,0.7778253555297852,4.0483817015753845
7,0.7587757110595703,4.742355554832352
8,0.8041523694992065,5.412194033066431
9,0.8007277250289917,6.07189017103778
10,0.7996575236320496,6.747335532175169
11,0.819991409778595,7.411927069955403
12,0.8219178318977356,8.0743875370423
13,0.8700770735740662,8.748909192019036
14,0.8542380332946777,9.414099633428787
15,0.8405393958091736,10.084846887191137
16,0.8600171208381653,10.777650672859616
17,0.8608732819557191,11.46539679765701
18,0.8730736374855042,12.145762044257589
19,0.8568065166473389,12.82837153222826
20,0.84375,13.51917915966776
21,0.8461044430732727,14.209070938693152
22,0.8294092416763306,14.88404538969199
23,0.865368127822876,15.573816304074393
24,0.8739297986030579,16.26898071878486
25,0.8818492889404297,16.961232053836188
26,0.859375,17.646864369842742
27,0.8647260069847107,18.33424257040024
28,0.8662242889404297,19.02545705755552
29,0.8775684833526611,19.716062045362264
30,0.8822773694992065,20.40727339340581
31,0.8741438388824463,21.099323123759685
32,0.8771404027938843,21.773107598159047
33,0.884631872177124,22.45358115851879
34,0.8889126777648926,23.141061579783763
35,0.8664383292198181,23.810845290621124
36,0.8827054500579834,24.50458974228965
37,0.8790667653083801,25.195445125963953
38,0.8724315166473389,25.86052007496356
39,0.8865582346916199,26.519226937161555
40,0.8822773694992065,27.20192415522205
41,0.8713613152503967,27.86425808078713
42,0.8724315166473389,28.53217573973868
43,0.8713613152503967,29.218586250676044
44,0.8672945499420166,29.88920237527953
45,0.8882705569267273,30.57455172512267
46,0.8807790875434875,31.23747378932105
47,0.8842037916183472,31.894789005584197
48,0.8557363152503967,32.569257772233755
49,0.8904109597206116,33.24051502784093
50,0.8929794430732727,33.913414749172
51,0.8602311611175537,34.6060011746486
52,0.886130154132843,35.297828203373484
53,0.8694349527359009,35.9551802492804
54,0.8901969194412231,36.62093497673671
55,0.8782106041908264,37.28923941897021
56,0.8758561611175537,37.955957892669566
57,0.8904109597206116,38.620064160294
58,0.8743578791618347,39.29438399453958
59,0.8867722749710083,39.95471850958136
60,0.90218323469162,40.644903881218696
61,0.8835616707801819,41.325834956566474
62,0.8585188388824463,41.99091335038344
63,0.8799229264259338,42.653717547059046
64,0.8899828791618347,43.32069794370068
65,0.8782106041908264,43.97770714177026
66,0.8784246444702148,44.65380598962306
67,0.9019691944122314,45.31084481073751
68,0.8857020735740662,45.96841552833715
69,0.880993127822876,46.63248283485572
70,0.8955479264259338,47.30553750660685
71,0.8979023694992065,47.979950259460345
72,0.879494845867157,48.66552769237094
73,0.8726455569267273,49.33328437394566
74,0.9034674763679504,50.01741016215749
75,0.9088184833526612,50.69931124693819
76,0.8895547986030579,51.358663437962534
77,0.887628436088562,52.02665233327282
78,0.8961900472640991,52.698029494086896
79,0.8732876777648926,53.35610009133815
80,0.898116409778595,54.01497289578121
81,0.8942636847496033,54.67908275763193
82,0.8850599527359009,55.33828099999162
83,0.8899828791618347,55.994014915294116
84,0.8844178318977356,56.65128914720482
85,0.8803510069847107,57.31345519416862
86,0.879494845867157,57.97376325931814
87,0.90218323469162,58.644773339827864
88,0.9030393958091736,59.30750998907619
89,0.8961900472640991,59.97208858152232
90,0.8985445499420166,60.63857827696536
91,0.8910530805587769,61.29557546595733
92,0.8754280805587769,61.9522350786792
93,0.9030393958091736,62.62357430650129
94,0.8934075236320496,63.30194620410601
95,0.9036815166473388,63.989511543313675
96,0.9081763625144958,64.65342340217697
97,0.898116409778595,65.31463405721718
98,0.9081763625144958,65.97908647855121
99,0.8859161138534546,66.64570666439002
100,0.896618127822876,67.31174637774625
